,sentence,label
3019,feel ecstatic homework,joy
3020,wanted really love book social thought provoking personal histories thing left feeling disappointed one,sadness
3021,went registration passed uneventful five minutes feeling deeply amused,joy
3022,feel charmed see harder plan adherence appear accomplishment august attempt olympic medal,joy
3023,feel despairing sadness much time working cut ties,sadness
3024,overwhelming feeling sadness people world hateful,anger
3025,arrived gym ball sunshine made feel welcomed gym although felt like dorky unfit rotund sloth fit environment buffed fit looking fierce looking bloke,joy
3026,feel rushed,anger
3027,feel impatient stop body giving positive response,anger
3028,bad dreams really weird dreams make feel like got sleep completely disturbed thoughts,sadness
3029,feel pressured helpless dont control,fear
3030,woke feeling dazed confused,surprise
3031,im done putting constant bullying feel threatened constantly defensive tired constantly defending others,fear
3032,extremely positive feeling divine energy alone take quaking boat shore,joy
3033,ive feeling listless two days,sadness
3034,im feeling little stressed,sadness
3035,feel cute tune song days christmas played mind pia almost best friend going like everyday share almost everything understand together went,joy
3036,feel like suddenly lost limb tragic accident,sadness
3037,think say feel alone feel like facing alone dont really mean say,sadness
3038,feel like im something really naughty like dessert breakfast,love
3039,feel shaken angry husband keeps lying sexaholic often start feel mad god,fear
3040,want feel left offering discount tea totes beloved readers beginning today april th,love
3041,also feel fearful concerned worried,fear
3042,ive sat wondered guy liked hasnt texted calling really thing makes feel awkward seems efforts contrary wont take chance girlfriend,sadness
3043,feel fine good enough sunday evening,joy
3044,see feel need respond ludicrous questions concerning anything,sadness
3045,saw nothing dining room table moved think im starting feel safe come,joy
3046,feel bit disillusioned men whole population,sadness
3047,im meant feel longing,love
3048,try remember quote feel may hitting wall marathon even training run know time find perfect song fuel,joy
3049,feel isnt much meat yoshidas perspective grows ever tragic,sadness
3050,mishandled things alongside rest im feeling remorseful right opposed initial reaction wanting care maybe somewhere deep im hoping things might like,sadness
3051,actually starting feel pretty cranky situation avoiding lot phone calls really didnt want talk anyone late,anger
3052,begun feel though valuable contributions insights make within network professionals,joy
3053,guess ive feeling agitated lately,anger
3054,im lying bed feeling anxious knot stomach,fear
3055,feel low confidence sometimes,sadness
3056,know every baby different feel like ive already exhausted pun intended bag tricks,sadness
3057,feel discouraged peter varvel isnt good enough put persona someone inspires whether theyre real imagined,sadness
3058,get feeling may think attraction thing part long faithful husband friend problems,love
3059,feel eager tell parents,joy
3060,feeling keen get camp site realised given best gift free accommodation free services,joy
3061,still feel guilty christian depression,sadness
3062,like idea women entertainment industry especially pop music may feel pressured turn hypersexual tartlets get feeling rihanna provocative feels,fear
3063,feel like lost much fitness three weeks either,sadness
3064,feel really bitter,anger
3065,feel exhausted time,sadness
3066,get pretty quickly makes feel like im respected,joy
3067,feel respect feel admiration feel entirely romantic tone,love
3068,feel like owe intelligent sexual decisions,joy
3069,still feel brave walk saudi perfume scented terminal dulles flight leave hour,joy
3070,boyfriend split came friends house visiting male friend confrontation another room tried find aroused friend feeling parts,anger
3071,love gives great feeling contented accomplishment,joy
3072,since july st feeling shaken knowing homeless two months close home gone,fear
3073,live values instead crushed debt feeling rejected feeling empty,sadness
3074,feel thank everyone amazing thoughts prayers,joy
3075,ive rather average career decided work less earn less rolex anywhere seen managed write even publish short story collections novels mind drafts today feel successful,joy
3076,im feeling frantic time whole summer giant hour glass im vigilant sand going rush whoosh ill dipshit show,fear
3077,feel offended sad know ignorance,anger
3078,kind feel fearful starting,fear
3079,kept laptop close searching jobs could build career looking important christmas recipes make year feel little special,joy
3080,merely man feel humiliated whenever intimidated,sadness
3081,longer feel like pathetic sad fat girl cant eat nachos every day,sadness
3082,go back hostel break feel anxious get back see take,fear
3083,feel people shamed,sadness
3084,hit certain point middle something revealed left feeling overwhelmingly devastated set book walk away,sadness
3085,feel benefited last year creative futures could part information learnt last year already putting practice therefore year sessions already rather inspiring start,joy
3086,pick cards feel shiver go spine feel curious,surprise
3087,know feel ache pain tummy get frightened incase em,fear
3088,living lately often wife also ubuntu user feeling bit uncertain linux platform want keep working,fear
3089,im convinced makes since talking never feels sincere execution maybe themes life seem large ever fathom point already feels like emotionless pit self craving attention,joy
3090,feel aching chest,sadness
3091,feel content,joy
3092,im feeling bashful whenever talk,fear
3093,feel dirty fuck,sadness
3094,decided since things finally starting go well still feeling little uncertain give little time let training come together,fear
3095,think help somebody feels hopeless alone,sadness
3096,began feel agitated wanted buy ewan food medicine left,anger
3097,im feeling relaxed,joy
3098,things torture feeling tortured moment,anger
3099,strongly feel point life longer desiring walk path truthful clue going life,joy
3100,fully believe feel passionate living bravely outside comfort zone often revert comfortable ways,love
3101,feel romantic left try barry almond range,love
3102,feeling really creative trying new things,joy
3103,press play yeah watch movie five times row right feel satisfied cant wait share made friends,joy
3104,sometimes feel like artistic redcoat,joy
3105,finished college couple kids worked feeling entirely discouraged camera functions wanted feeling like couldnt decent job taking pictures decided give another try,sadness
3106,feel emotionally drained really really hate feeling way hate keeping things people love hate pretend everything normal want normal hate happiness coming someone else im tired really need break,sadness
3107,wasnt going im loving wednesday post wasnt feeling like loving anything youngest sister text last night sometimes happiness choice,love
3108,wear feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed paranoid,fear
3109,hadnt feeling well week calgary added relaxation first run second race set another pb time almost,joy
3110,feeling drained like strength left inside fulfill simplest tasks,sadness
3111,army,anger
3112,feeling suspicious lj cut text suspicions,fear
3113,im trying positive feel positive,joy
3114,guess since im feeling bit less shitty random picture,sadness
3115,wasnt feeling well take days work lots winter germs going round air conditioned office probably doesnt help,joy
3116,find calming colors dunno guess feel pleasant weird sounds,joy
3117,feel like part team far isolated feeling many months,sadness
3118,think really great situations feel overtly threatened public place everyone pretends see happening,fear
3119,feel discouraged try count blessings recognize good life,sadness
3120,feeling mom wont keen idea,joy
3121,feel awful experience reflect,sadness
3122,forget time disagreement feels like wronged way every bad thing ever done life every poor choice every single thing agree comes back screaming face,anger
3123,feeling pretty anxious overwhelmed friend rightly noted probably boat mom grandmother great aunt flee except damn cold baltic sea,fear
3124,feel scared dont know students teachers,fear
3125,feel little bit anxious,fear
3126,feel like mostly post im feeling bad wanted know good days,sadness
3127,always prayed hoped universality single faith complete unconditional voluntary feeling brotherhood among mankind host beloved children one heavenly father,love
3128,feel overwhelmed want forget,surprise
3129,feel bothered getting credit equals getting debt interest,anger
3130,feel plight dogs lovely find turkish vet really cares,love
3131,feeling rather grouchy morning since didnt sleep last night purpose,anger
3132,feel helpless yet motivated something,sadness
3133,spending cadore feel even acutely sorrowful impact news receiving bloodshed conflicts episodes violence happening many parts world,sadness
3134,glimpse clarity takes reigns feel calm,joy
3135,feel content alive motivated,joy
3136,think feel listless,sadness
3137,morning filled feeling possibility gentle morning haze nyquil,love
3138,feeling shaky today,fear
3139,feeling shaky weak,fear
3140,feeling need consolidate step back evaluate purpose blog providing fabulous vicarious life yall live sarcasm always come across print,joy
3141,also always feel little scared,fear
3142,feel desperately unhappy missing richard handle much enough mess know still feel like,sadness
3143,feel strange thankful awful things sides oceans surround country happen daily basis,fear
3144,told vendors feel like might end supporting much one platform linux many popular distribution releases days,love
3145,feel like im troubled girl direction,sadness
3146,feeling pretty terrified full nervous energy,fear
3147,im great gone class feeling gone replaced sense melancholy body used able move,sadness
3148,feel like selfish person,anger
3149,feeling grouchy,anger
3150,feel worthless hes pick airport,sadness
3151,mind since office way home feel pained one friends offered give company,sadness
3152,used feel rejected like fault overweight,sadness
3153,im feeling overwhelmed give people middle finger tell f,fear
3154,feel friggin blessed wonderful career family,joy
3155,ill take gfathers ute get load shit would prefer manure im feeling hostile let attempt version home made compost,anger
3156,feel simultaneously superior inferior writer wish could take back things said,joy
3157,ive feeling anxious nauseous tired also elated nights crawl bed,fear
3158,feel burdened subjects taking,sadness
3159,feel safe leave house morning,joy
3160,got upset feel person whos uptight chatting,fear
3161,feel passionate healthy life people want lose weight get fit,love
3162,stood crowd talk recent addition crowd feeling little shaky hihi training skills needed maintain constant better,fear
3163,feel unimportant undesired,sadness
3164,im feeling much festive tree,joy
3165,like dating outgoing makes feel ease im somewhat shy,fear
3166,feel valuable,joy
3167,typically engage children walks manner today feeling little curious silly usual persist question,surprise
3168,think good feel players feeling try help one thing life want thats believe believe strong enough good things happen washington said,joy
3169,im really excited birthday feeling super nostalgic,joy
3170,feeling festive right lovely wintry scene walked dog day href http,joy
3171,recent pang feeling ugly failure way,sadness
3172,id use level would make job feel worthwhile season basically half long,joy
3173,hope feeling ok,joy
3174,feel ever ever ever jolly,joy
3175,feel awful,sadness
3176,feel rather agitated sliding door keeps getting stuck,anger
3177,begin feel terribly rude causes become depressed,anger
3178,feeling remotely dignified tasteful comfortable,joy
3179,feel strange judge passing sentence manner,surprise
3180,feel generally dissatisfied lost,anger
3181,feel guilt inaction spend much time helping supporting others,joy
3182,learning one default reactions feel threatened,fear
3183,tried reconcile two feelings one piece music unease tender nostalgia present martin song wwii france different sharp bleeding ache feeling,love
3184,afraid feel hopeless lose peace gained last episode,sadness
3185,feel couldnt bothered anymore,anger
3186,talked much feel video curious,surprise
3187,ive feeling rather defeated stressed appointment reminded though may failing areas im pretty dang good job growing baby,sadness
3188,give charity feel valuable person receiving,joy
3189,would accept gift without feeling mad,anger
3190,must say feel something special,joy
3191,usually wear glasses first uncomfortable feeling like irritated lately feel comfortable,anger
3192,spent saturday night sunday feeling pretty lousy,sadness
3193,ive feeling far perfect area motherhood,joy
3194,fought back blush cheeks one hand resting heart feeling frantic beating almost positive kai could hear,fear
3195,try let anxiety show make feel unwelcome,sadness
3196,forgot passport realize stomach feeling funny went washroom understand actually sick,surprise
3197,feel peaceful secure independent,joy
3198,ive played fps games time ive left feeling like mentally emotionally dangerous thing switch important part brain play,anger
3199,feeling lil groggy cough medicine,sadness
3200,like lot person cant help feeling less dream jobs shes sociable shes combat trainer,joy
3201,guess im ready still young feeling rebellious,anger
3202,started feeling overly lethargic whole body feels like lead,sadness
3203,feel im ignored,sadness
3204,feel least meant compassionate care world ba,love
3205,feel lots energy feel impatient irritable,anger
3206,recommend using feeling emotionally drained,sadness
3207,im sorry really bad cold im feeling bitchy cos never got go drinking stupid best friends tonight,anger
3208,said focused focused feel unimportant,sadness
3209,feel pressured dumb feeling,fear
3210,changed feel im taking advantage wouldnt bothered one bit,anger
3211,feel like im horrible person sometimes im even good mother simple fact happened dont know,sadness
3212,told friends feel like sort backpacking instead supporting idea got raised eye brows sarcastic remarks,joy
3213,like originals want rebekah satisfactory ending shamed feeling loving klaus extent stefan damon,love
3214,often feel fucked regardless,anger
3215,im ready meet little man knowing time running leaves feeling little apprehensive,fear
3216,im afraid going feel like lot people groups part feels like would cool small group hang,joy
3217,feel like coming really caring feeling thinking,love
3218,im feeling groggy horrid,sadness
3219,didnt smoke house car remember feeling agitated way home anywhere,anger
3220,feel lousy pain leg foot falling back pain guts mess around easter,sadness
3221,feel fine pretty rough running hours minutes straight,joy
3222,im really feeling good,joy
3223,would give ample reasons feel ashamed,sadness
3224,confess moments feeling overwhelmed ill admit bit melancholy,fear
3225,wish would feel blessed time remember reason wears time need reminder year,love
3226,meet supermarkets banks dentists etc make feel like im weird,fear
3227,feel gap feels like rich people status poor people status,joy
3228,know best support low arches footbed feels supportive without feeling high,love
3229,suddenly feel sweet love song every girls could sing front boyfriends,love
3230,often feel working like hopefully benevolent goliath often undone humblest davids,joy
3231,im feeling loving heart stealing reach worn hands im ready href http,love
3232,like listen weather gets warm though makes feel like carefree beach,joy
3233,ive collected feel vital create something precious items tribute earth power generosity,joy
3234,im feeling peaceful im happy dont anymore scabi im verona final week,joy
3235,im feel alone dont know cope,sadness
3236,feel selfish think time,anger
3237,spent lot time earlier year feeling stressed capacity resistant stretching felt like stretching,sadness
3238,im feeling exactly thrilled standing front mirror know mean,joy
3239,feel disturbed betrayed untrustworthy slightly disagreeable,sadness
3240,feel proud,joy
3241,feel little bit frightened islam,fear
3242,think said beautiful things think meant loved think made feel terrific,joy
3243,im alternating felling optimistic feeling doomed,sadness
3244,ive listened enough people go back old ways taking advice end feel discontent cant change ways give,sadness
3245,feel inside cause life like game sometimes came around walls disappeared nothing surround keep fears im unprotected see ive opened oh youve made trust cause ive never felt like im naked around show,sadness
3246,always seem feel im running empty,sadness
3247,honestly say havent enjoyed learning lessons learned feel though come stronger tougher loving appreciative,love
3248,feel like need emphasize impressed color,surprise
3249,still able remember single dull moment detail pissed thing didnt feel comfortable,joy
3250,personally feel acceptable piece art feel test personal moral ethical views people,joy
3251,go sleep soon head hits pillow sleep deeply night wake feeling lot less lethargic usual,sadness
3252,feel troubled,sadness
3253,feel like meet subtly obnoxious annoying people universe,anger
3254,feel beloved husbands spirit strongly indication another breakthrough imminent,love
3255,feel like worth trusting,joy
3256,feel like hed think pretty cool certainly,joy
3257,feel bones silently aching knuckles spreading uneven nails oscillating patterns,sadness
3258,feel like amazing co screenwriter roberto orcis bizarre adoration dubya pampered bush son responsible shit even though carried amazing spider man orci didnt co write,surprise
3259,feel vulnerable criticism like lunch stinks somebody comments eat embarrassed feeling,fear
3260,feel blessed yoked man willing work hard provide us,love
3261,uneasy feeling stupidly talented eagles mainly good positions dangerously thin others,joy
3262,feel whisper friendly voice start rise indulge hearts content pay mind,joy
3263,supposed feel doubtful still think forget sometimes amazing living city get work inspiring young women internship,fear
3264,still received letter moe admit im starting feel slightly troubled,sadness
3265,living joyful life feel divine beings part daily life,joy
3266,feel dirty like jane eyre bigged context yes still,sadness
3267,feel hateful hollow yes hear many smiths days,anger
3268,didnt use feel embarrassed walking people pool,sadness
3269,feel lethargic instead almost worse,sadness
3270,cant help feel like im something dirty,sadness
3271,set foot feel comparatively strong light free,joy
3272,mean post feel rotten abou,sadness
3273,guess avoiding boundaries conversation feeling little unsure confidence strength,fear
3274,feel like perhaps soon grabbed onto followed beaten,sadness
3275,feel lucky point feeling guilty got away without serious damage disability,joy
3276,cannot help feel proud grateful america,joy
3277,want feel sweet embrace dont take paper bag face love smile face eyes damn im good telling lies,joy
3278,feel pretty might add,joy
3279,feel simultaneously thrilled shy unsettling exciting see way,joy
3280,im saying would make feel successful,joy
3281,feel issue resolved,joy
3282,feel could successful outcome explored new styles kept close remained,joy
3283,seriously feel like im becoming boring everyday,sadness
3284,hated hurt feelings hated dating somebody love hated pretended lied friend really treassured,anger
3285,regularly rush feel irritated dont take time communicate needs feelings,anger
3286,expect hope greater id feel disappointed,sadness
3287,feel though sometimes clever average,joy
3288,feel like hes sure,joy
3289,feel like student response tip delicate balance psyche,love
3290,feel neither impatient dickish reasons,anger
3291,got feeling saying string along much sympathetic audience tell troubles,love
3292,woke feeling frustrated upset enacting moment succumb docs insults arrogance favor clarify truth health,anger
3293,ive trying tell feelbut never smart,joy
3294,feel way probably dumb try hardest cover reading lots lots books know becoming doctor,sadness
3295,try mindful room check minister beforehand would feel supportive,love
3296,feel lethargic find reason move even full bladder threatening burst,sadness
3297,tried write normal ignored feelings throwing unsuccessful relationship boy,sadness
3298,try adjust overdoing feeling kind useless frustrated physical limitations,sadness
3299,struck disease feel fake person could live truth,sadness
3300,understand feel like hated friends,anger
3301,feel ok go world work buy food go walk,joy
3302,feel kind talented right lol hmmm,joy
3303,feel slightly ungrateful spend much time going mad,sadness
3304,remember day phone fri shannon telling cried feeling truly happy,joy
3305,id call feeling relaxed,joy
3306,know totally trainable free arm chewing habits feel kids would nervous around training process,fear
3307,wasnt mad mad j making feel unimportant,sadness
3308,gone cumberland earlier week met n amp h friends prior weekend really lovely since moving away feel many wonderful people know,joy
3309,also feel like excited come back like two homes,joy
3310,feeling doomed discovered liked pap smears family medicine,sadness
3311,thought excited im starting work im feeling reluctant ever,fear
3312,find feeling passionate,love
3313,im relieved feel much like resolved almost nothing actually weird energy cant wait back camp even though ill hacking coughing spluttering day long,joy
3314,feel bit like mircowaved wasnt entirely pleasant feeling,joy
3315,feel anxious moment truth feel rather like tiger cage comes testing,fear
3316,feel gloomy upset whatever negative emotions take look colorful paint pots instantly lift mood,sadness
3317,feel sweet potatoes rated,love
3318,cannot feel strange sadness thing ready cannot,fear
3319,feel quite uncertain art create personal brand creative living im contribute,fear
3320,feel like distraught lost,fear
3321,constitution also feeling deprived lucky,sadness
3322,sometimes feel gentle reminder adopting,love
3323,able guess pick lot plot twists episode first hints given whether thats moffat using really obvious foreshadowing solid grasp narrative logic im sure like builds suspense makes feel clever,joy
3324,mentioned feel free hit anything,joy
3325,left feeling pretty disappointed casting skills,sadness
3326,feel nostalgic old books often reread,love
3327,hope look back future feel glad documented small ways feel possible even love,joy
3328,feel distressed night perhaps empathy,fear
3329,mm comfort zone long feel need get bit creative composition,joy
3330,grinned peter feeling somehow triumphant partially forced,joy
3331,feeling super,joy
3332,find question puts right edge bringing love dharma world edge feel vital necessary,joy
3333,feel selfish,anger
3334,scream every day every night one hears face starting fall feel anxious frightened time think know anything means anymore,fear
3335,beginning feel almost jaded backpacking guess endless bouncing around title comfort v cash backpacker struggle overland travel href http www,sadness
3336,feel depressed know would make happy,sadness
3337,im feeling kind dumb admitting gloating fact,sadness
3338,feel furious pathetic furious various reasons,anger
3339,im still waiting new fairy lights delivered couldnt wait get tree make house feel little festive,joy
3340,id probably go none hope date admires confident girl feels fine without makeup,joy
3341,feel strange,fear
3342,ive got brothers family feel incredibly blessed gifted sisters drive wall also happens ones make feel comfortable,joy
3343,escorting relative bike,fear
3344,feel extremely jealous ranbir works directors ayan mukerji filmfare,anger
3345,rough day every feel exhausted day matter much sleep get im good week,sadness
3346,feel person unimportant interpretation see trend misunderstood instead wasting time hence impatience part explain feel already misunderstanding try reexplain intent,sadness
3347,feel lip curl half smile amused way put,joy
3348,feeling scared also knowing really big changes mind body spirit,fear
3349,want birthmoms feel confident made right decision,joy
3350,im currently trying implement changes life already feel valuable business family,joy
3351,even go stores feel unwelcome,sadness
3352,read much discovery exploration wild west feel concepts precious taking part often book brings refined feel sit back chair quiet time,joy
3353,could actual thing still figure feel embarrassed knowing get line get drink park car whatever go,sadness
3354,able say acuity feeling exhausted normal anyone,sadness
3355,looked feasted view legs knees memorized feel cars gentle rocking,love
3356,feeling honored grateful blessed get spend day remarkable th graders,joy
3357,tells feel troubled,sadness
3358,feel like emotional train wreck,sadness
3359,im warning hes feeling cranky morning,anger
3360,want future years made feel amazing best friends could ever ask,joy
3361,mean serious recollection feelings funny funny sort way story let get back action begins,surprise
3362,deal fact society wants everyone feel like fake love couple days forget emotions,sadness
3363,get bored get scared feel ignored feel happy get silly choke words make wishes dreams still want believe anything happen world ordinary girl class profile link href http www,sadness
3364,saw pair walk gates couldnt help months suppressed feelings homesick came seconds anyways,sadness
3365,feel free exhilarated,joy
3366,said look moving fast point life feel like victimized child child needs talk get things,sadness
3367,came place base wasnt feeling like wander far afield wish adventurous heard wonderful things salons,joy
3368,im feeling little resolved get shit done,joy
3369,get feeling life miserable waste happens less less get older btw ill look playlist page comments remember,sadness
3370,suppose everyone elses problems generally much worse mine feel idiotic learning deal everything,sadness
3371,appreciate open universe feel receive gentle nudges small happenstances clues present also dreams,love
3372,lambrusco quality much higher lot wines feel smart buy like little sweet little bubbly,joy
3373,felt good fact went zumba half hour later hour left feeling even energetic possible,joy
3374,feel motivation satisfied read write also understands,joy
3375,waiting feeling special feeling makes life easy bearable,joy
3376,feel like girls really starting get loving hearing sing christmas songs jesus,love
3377,feel like preface post w disclaimer sort enraged peta something equally horrible,anger
3378,hardly feel way usually hyper bouncy around everyone,joy
3379,reply make feel pretty,joy
3380,also told cousin feel like family members know talk afraid talk,fear
3381,hear word feel stronger assured,joy
3382,feel totally lame idea blog today,sadness
3383,feel ultimately ok,joy
3384,feel quite jolly spite heat lack commercialism,joy
3385,got walk rain feel triumphant nature rain boots pink rain coat,joy
3386,feel like hiding prevent others exposure decidedly unpleasant expression anti christmas cheer bah humbugs like call,sadness
3387,knew wanted somehow include idea natural healing holistic living site also feeling radiant vibrant enthusiastic life age,joy
3388,like brush lot since returning spain sob release real techniques started using expert face brush liquid foundation sephora mineral powder brush sat back collection feeling unloved,sadness
3389,feel like screaming blank solid wall,sadness
3390,cant help feeling little hesitant decision magnitude decision,fear
3391,feel lucky nominated liebster award,joy
3392,feel like leaves artistic equivalent crack couch cushions,joy
3393,feel look eager anticipation come,joy
3394,start feel agitated inside,anger
3395,feel respected,joy
3396,im feeling bit suspicious,fear
3397,feel honored even mentioned sentence derek,joy
3398,im feeling id much rather stay singapore spend time friends hate everyone sara really bitchy right div style clearboth padding bottom,anger
3399,im feeling generous restaurant like mandarin grill fairly stellar reputation impression may extended edible yet decorative garnishes like samphire,love
3400,quite perplexed liam trying figure always submissive feel needs submissive mark johnny,sadness
3401,would feel alone everybody must get stoned,sadness
3402,feel honored veil lifted moment,joy
3403,bought one couple years ago makes feel little glamorous,joy
3404,feel stressed tend scrapbook make cards,anger
3405,feel unwelcome unwanted everywhere,sadness
3406,must admit matter early start playing christmas music holiday shopping tree makes everything feel much holly jolly,joy
3407,feel pressured write pressure write least ingrained,fear
3408,feel like todays sweet treat would something served north pole,joy
3409,feel irritated,anger
3410,feel way makes even angry,anger
3411,feel like enables rotten ass even total,sadness
3412,havent like lately seriously feeling depressed,sadness
3413,may finally sit feel sweet release notice misplaced glasses kids found unique place,joy
3414,feel ashamed oh romantic,sadness
3415,feeling especially emotional reason,sadness
3416,feel despised feel world crumbling onto,anger
3417,feel honored opportunity sign book within walls library,joy
3418,feel really cold miserable try motivate others finding walk trying,anger
3419,feel terrible one want listen either,sadness
3420,still likeguy still feel guilty,sadness
3421,feel aint broke fix,sadness
3422,im sorry bad hurt feelings make feel unloved alone feeling afraid love trust,sadness
3423,must say though feeling pretty violent,anger
3424,feel strongly passionate hearing made heart sink,joy
3425,feel punished hidden sin life,sadness
3426,would feel devastated every channel click tv another sport event maybe sport event different language,sadness
3427,im feeling dating important part growing,joy
3428,feel reasonably assured run magical genealogical strains,joy
3429,feeling extremely pleased decide give guy another rupees,joy
3430,feel regretful,sadness
3431,feel need bear mind though low cost resort rooms europe england look,sadness
3432,also noticing handle much incoming information start feel overwhelmed,surprise
3433,feel pathetic stoop level really really want happy whatever,sadness
3434,im feeling little less jaded,sadness
3435,sick feeling sad upset lets angry angry handle,sadness
3436,love feeling running cold see breath cold air seems refresh inside,anger
3437,feel blessed think something tragic going happen future huhuhu see still battling thinking positive thing,joy
3438,feeling hopeful around time took,joy
3439,may feel stress unhappy,sadness
3440,reluctant hey feeling lousy nothing lose,sadness
3441,wake feeling pretty energetic thats positive anyway,joy
3442,get pre birthday blues spend weeks feeling slightly melancholy things havent done life whizzes,sadness
3443,feel like start taking seriously already exhausted,sadness
3444,ashamed family ashamed feeling ashamed,sadness
3445,love winter maybe happy cant feel gloomy depressed,sadness
3446,feel scared,fear
3447,feel owe adoring fans lj entry every,love
3448,feel make hateful bastard stupid make assumed connections hateful,anger
3449,feel really honored excited met,joy
3450,feel strange sense legacy,surprise
3451,remember feeling really dazed amazed happened little know surgery good luck sure bad luck everyone,surprise
3452,feel hesitant since experience programming,fear
3453,feel helpless powerless control,sadness
3454,feeling impatient havent blogging day pretty similar sleep eat pregnancy pains sleep etc,anger
3455,also need remember bad overeating makes feel fullness hangover get food thats rich sugary,joy
3456,started feel melancholy uncertain really missing son,sadness
3457,guess finality decision financial repercussions feeling doubtful,fear
3458,driving back moment missing new orleans feeling really sad hit able go visit night whim felt peace,sadness
3459,feel massively uncomfortable consumes massive amounts processing power associate bad situations ive recently,fear
3460,overly pc feeling little shocked,surprise
3461,feel shy cause realized people behind didnt dance look us gt,fear
3462,cant help feel helpless overwhelmed mistakes ive made,sadness
3463,feel like dull ache,sadness
3464,compare mine feel irritated tried realistic calm self,anger
3465,start feeling really lousy figure pregnancy stuff,sadness
3466,feel whiney moment,sadness
3467,really like kind music night want bands feel like played someone liked,love
3468,brush side tuck behind ear feel rebellious strands escape tickle cheeks lips realize im one control,anger
3469,also lbs feel good still another go least well thats plan anyway,joy
3470,feel like cant brave,joy
3471,wish family didnt feel need keep constantly entertained shes around shes always bored mind irregardless doesnt remotely appreciate efforts tolerate everything whatever,joy
3472,think feelings remix result neurotic,fear
3473,collar complete padlock back wear im feeling submissive,sadness
3474,felt empowered telling affected come close suicide severe distress caused continue feel long unpleasant encounter felt disregarded completely,sadness
3475,believe media content bad fact much feel absolutly vital human flourishing,joy
3476,admits feeling remorseful outbursts width height,sadness
3477,still dont know make somehow feel even assured teach works,joy
3478,im thankful work place feel comfortable supported,joy
3479,know damned centuries hone words wielded razor edge hindsight cannot help feel resigned fate inevitably followed helpless withstand,sadness
3480,feel unsure neutral changing really want change,fear
3481,feel depressed moody lethargic tired,sadness
3482,really like choir people feel really friends choir sincere going trip feel really lost,joy
3483,worked computer tech ability hyper focus one issue real asset however living day day get bogged feel frustrated making progress focused one problem,anger
3484,feel damaged cannot speak,sadness
3485,new feels kind strange push,fear
3486,rarely feel hesitant say something sometimes even much,fear
3487,felt jealous feel insecure,fear
3488,hope one day feel sort divine inspiration motivation fasts come easy back burner something hope focus done raising children,joy
3489,feel unwelcome,sadness
3490,sleep better food taste better thoughts clearer feel vigorous essence pounds body mind almost exclusively devoted thinking cigarette wanted could,joy
3491,longer feel disadvantaged ethnicity fact majority gay men racist dont wanna date asians,sadness
3492,want feel regretful stop smoking much damage done,sadness
3493,haul lava planet export space port feeling fairly clever,joy
3494,want write feeling unhappy,sadness
3495,feel low lost lonely grey day,sadness
3496,im feeling moxie fab love cath script src http www,joy
3497,good news share feels amazing able sit feel relief sunshine,joy
3498,felt melting away time happy feeling scared one,fear
3499,feel longing knowledge,love
3500,try come ideas feel clever keep pieces fun make interesting look,joy
3501,feel happiness peaceful,joy
3502,feel sorry employees way applebees ceo behaves best chain starved death caring consumers,sadness
3503,im feeling depressed anxious despondent thats seem want,sadness
3504,feeling bit rushed kitchen cleaned mixed blender find works well provided butter really cold dont pulse,anger
3505,feel like week photos kind boring uninspiring,sadness
3506,ive feeling much confident,joy
3507,feel successful sodden shattered squeeze sardonic squat,joy
3508,amazing great photography feel passionate,joy
3509,afraid going freaking explode muscles locked place could feel absolutely ecstatic sensations ivy hands creating,joy
3510,feel like flying im afraid im going miss something,fear
3511,ive found im feeling pretty pumped,joy
3512,ive feeling bit discontent music,sadness
3513,im confident lot people feel zimmerman punished,sadness
3514,feel prick every night dreaming paused dramatically impressed,surprise
3515,feel excited,joy
3516,love air alton towers though feel like im flying lovely free feeling though fair bird flew fast randomly upside rollercoaster think would end beak first nearest tree,love
3517,feeling particularly annoyed co workers sometimes make rounds floors finding literally pounds white paper trash,anger
3518,survived first big kid trauma though still feel shaken whole event,fear
3519,started secondary school age every night would cry lose sleep thought school next day wasnt usual feelings oh cant bothered school,anger
3520,get making excuses man big boy staff walked away red rooster feeling dissatisfied underwhelmed confused,anger
3521,look scene think cute enjoy swelling feeling pride playful delight dog,joy
3522,im feeling melancholy today bit sadness also feel sadness ok,sadness
3523,feeling happy,joy
3524,see ritalin culture children flias feel shocked,surprise
3525,always feel joyful quite often throw prayer window,joy
3526,feel like little innocent helpless person needs guess like needed,joy
3527,tell exactly wrong moment second grieve son miss son feel though punished living hell times,sadness
3528,kept heart open exposed watching news every night would likely never recover rush helpless hopeless feelings created tragic stories,sadness
3529,feel sympathetic try help different community,love
3530,feel special fun say lol amvassago cant stop laughing ever read something see beefy amkris toshibalol amits epic word beef cake amvassago nooo,joy
3531,feel children caught unfortunate situations fault deserve voice someone best interests,sadness
3532,watched thanksgiving morning feeling doubly blessed god given,love
3533,feel inadequate moments momma,sadness
3534,feel like milestone race shaken novice feeling,fear
3535,place feel hopeful finally getting job another warehouse distributors like work products floral instead stationary accessories art bags,joy
3536,going get saturday night im going say went home sat billy bit went bed feeling alone wasted good way abandoned,sadness
3537,feel successful waxing moon quite bit different hidden sun,joy
3538,feel reassured,joy
3539,know last long ambulatory feel even though try positive possibly,joy
